Testing 533 payers...
Start: 2026-06-03T17:35:48.480528+00:00
================================================================================
  [127/533] State of West Virginia                        ... 🚫 unreachable | HTTPSConnectionPool(host='api.westvirgin | 35ms
  [128/533] State of Wisconsin                            ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.medicaid. | 27ms
  [129/533] Texas Children's Health Plan                  ... 🔒 auth_required | HTTP 403 | 299ms
  [132/533] UCare                                         ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.ucare.org | 59ms
  [133/533] UnitedHealthcare                              ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.uhc.com', | 29ms
  [134/533] UPMC Health Plan                              ... 🚫 unreachable | HTTPSConnectionPool(host='api.upmchealth | 57ms
  [135/533] Virginia Premier Health Plan                  ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.virginiap | 15ms
  [136/533] WellCare Health Plans, Inc.                   ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 29ms
  [137/533] WellSense Health Plan (fka Boston Medical Cen ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.wellsense | 36ms
  [138/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 110ms
  [139/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 81ms
  [140/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 93ms
  [141/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 72ms
  [142/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 61ms
  [143/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 101ms
  [144/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 87ms
  [145/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 68ms
  [146/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 98ms
  [147/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 60ms
  [148/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 60ms
  [149/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 74ms
  [150/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 77ms
  [151/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 62ms
  [152/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 70ms
  [153/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 59ms
  [154/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 92ms
  [155/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 78ms
  [156/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 97ms
  [157/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 62ms
  [158/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 62ms
  [159/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 52ms
  [160/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 104ms
  [161/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 48ms
  [162/533] AmeriHealth Caritas                           ... ❌ not_found | HTTP 404 | 92ms
  [163/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 13ms
  [164/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 15ms
  [165/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 11ms
  [166/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 9ms
  [167/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 10ms
  [168/533] Centene Corporation                           ... 🚫 unreachable | HTTPSConnectionPool(host='fhir.centene.c | 15ms
